id,address,name,symbol,decimals
0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18
1,0xf92999330746a62b68d097b7ea41a7a3ca6e679a,intelAgent,intelAgent,18
2,0x371e03f552a61dc6f4803f46ce6ffe3b1a0922c2,zucc,ZUCC,18
3,0xfdbc32612b3e7640bd38c9229731e7494beb0069,🌌QuantumAI,🌌QUANTAI,18
4,0x431314a051f27d061d9077159ad47ae4843d3916,corn,CORN,9
5,0x91071507748dcfa6162f7e9d0963beebed8f2bb9,Polytrader AI,PolytraderAI,8
6,0x69ac2ced51505af76cabd0576073441b73aeb340,DCI AI,DCI,9
7,0x5bb38f4899797f03141782e9d2130c12769c0ccc,Inflection AI,INFLECTION AI,8
8,0x6ad4dfd045d77e032457e2953ef8a6504722ba5f,Pump.fun Agent,PUMPAGENT,8
9,0xcd7c960cb0e3a9e821aa750507c3dacedec436c8,CULT OF PEPE,PCULT,9
10,0x7bddf15dac73973b225867641f65437543526452,YeldAi,YeldAi,18
11,0x229a7ea39f52fbf6ece40165280c1ee026c3c5cf,bles,BLES,18
12,0xc386d227473a24989c696b7bf55341ebcf1d1269,Great Octopus,GOCT,18
13,0xa1d70e2dccf48e350c36b62b032e758898987407,AOC AI,AOC AI,18
14,0xd0b172a434eea19203f9cb359853a41c52495335,PROZIUM,PRZ,9
15,0x0c24fdbf8f05f70255c34f3dd4a1cca02039b379,BAKKT,BAKKT,9
16,0xa15b76d534af00a1b8bbf1a0a244db831dea4908,Swoop AI,SWOOP,9
17,0xf6a1db170e2e38c13f63e4bdd5351bf73e56e07e,Frogchain,FROGCHAIN,9
18,0xbd94d161a1ca376224e2e7fa96bd1af2f4dc2eb6,Pippin,Pippin,9
19,0xb9f6de5d35c19e0d7c92003f5bc9d26603d55194,nani,nani,18
20,0xf99e15a755a72cb1b25e778224d741f66952de7a,🦎ethZilla,🦎ethZilla,18
21,0xb6dea26d51c351c2d9af6594f8a9e44fe71e5c6f,Autism Capital,AUTISM,18
22,0x10eb8f67af65abf6e28150c02635e457b18fb6b4,Bitcoin MADE IN THE USA,BITUSA,9
23,0xd6fb2b66d5c9b92533b721a94214834c4cab0488,Poprcy Verence,POPRCY,18
24,0x43e10e6cfbb9997acd06652892bbd3604ed5b6c3,Baby Koma,BABYKOMA,18
25,0x55c41e335348f7d2315ca864485cf423c7fdb7ee,⚡️VoltAI,⚡️VoltAI,18
26,0x424f0513066dd7718bf5bce5e4a97fa16db76669,Kekius Maximus,KEKIUS,18
27,0xf13cdc2a427ce54900d1974c10d740d8ef43d4b8,TrumpDoge,TOGE,9
28,0xb36dca169db346b2651ef7a8d223215910fe1d4f,🍑PeachSwap,🍑PEACH,18
29,0x4e303276a2ae7dafb4970d3b56231ea62da82461,Black Cat,BLACKCAT,10
30,0xc6243a4d0dcccad86bc6ceafe77f70c74ef94d01,BABYSWOOP,BABYSWOOP,18
31,0x8aa10e0b83c86928158c0e71033f73ba5a073c47,Trading and Investment AI Agent,TIAI,9
32,0xe458378f5ba9ad5e48be17c06868df594ab316cf,KEKEMUST,KEKEMUST,18
33,0x46fb8c3039f830535a4cde84aef37014d750cc01,CHEEM,CHEEM,18
34,0x1b07c450e84a1447ba18ac2f11f2f83b37104dce,Labour,LABOUR,9
35,0x7f3d44108faf408ab4462b2ffeb495c6845b2bb8,TheChillCat,$CHILLCAT,9
36,0xc65a4f8c3064ef9c8efa0c6e63aa90910b75db01,Make America Fart Again,MAFA,9
37,0x93419fd571e2b44e38991bf50d83e7d4e3750668,Sahara AI,SHR,8
38,0xffbd8922c24683bb10916d3cd955c02e96975118,GRUMPY CAT,GRUMPCAT,10
39,0x5f61a002af274451f76193b9a3ff1919a4bc6d0b,AIONLY,AIONLY,18
40,0x63c5db3ed84d4416c32e2c09ba089eb40711d275,JUJU,JUJU,9
41,0x438c6484cafefde28538fd69d5e43995bb95f25a,Solayer,LAYER,9
42,0x991e94852d8bb2415b15723f343ad23dae3f1717,🦄UNIAI,🦄UNIAI,18
43,0x06cd9d76cc68f67eaf6860ad4dec313d5bd020d9,Georgism,Georgism,9
44,0xb712822f835e9b80c0ca0875bf97db78a547a7c1,Georgism,GEORGISM,9
45,0x85675e89bc59addfa0e86fda4a059a113999d740,Diet Coke,COKE,18
46,0xd7f24fd2feac738bfd4fddd99cabdc825918d9a0,PEIPEI SOLDIER,PEIPEIS,10
47,0x8b996c17056cd43d42d92414d6c25d9d20c5c24b,REAL PARALELO,RPL,18
48,0x3c7b72dacf85236ae0b199d951dad6a96064235a,eHashAi,EHAI,18
49,0x5a77dc2e707a7c93d5b709fe44c9178ba7ef0896,Pepe AI,PEPAI,9
50,0x9140946f576bbb7b0d2994540550967d086e7824,QUBY,QUBY,18
